Product Code	Description	Category	Size	Station	Profit Per Item (AUD) — fill in
MFLBALMB.8	MF - Pantry (Bulk)		BLK	B	
MFCLOVWXL	MF - Pantry (Bulk)		XLG	H	
MFYUMMBB12	MF - Pantry (Bulk)		BLK	B	
MFOATSRB5	MF - Pantry (Bulk)		BLK	B	
MFCECACSM	MF - Pantry		SML	B	
MFLINSEB6.5	MF - Pantry (Bulk)		BLK	B	
MFJASMIME	MF - Tea		MED	H	
ABCSG	MF - Ingredients		BLK	B	
MFCINNQXL	MF - Pantry (Bulk)		XLG	B	
MFCURNTME	MF - Pantry		MED	B	
MFHEMPSB5.5	MF - Pantry (Bulk)		BLK	B	
MFMAPLEB10	MF - Munchies		BLK	B	
MFEROLVB4.5	MF - Granola		BLK	B	
MFBKCARAB9	MF - Buckies		BLK	E	
MFROSEMME	MF - Tea		MED	H	
MFCHIASLG	MF - Pantry		LRG	E	
MFCECACLG	MF - Pantry		LRG	B	
SDRHODISM	Stardust - Adaptogen		SML	H	
MFMAPLEXL	MF - Munchies		XLG	H	
SDREDLOB3	Stardust		BLK	B	
MFTUMMTB.8	MF - Tea		BLK	B	
MFBUCKWB12	MF - Pantry (Bulk)		BLK	B	
MFCARDASM	MF - Pantry		SML	H	
MFGOCHUME	MF - Pantry		MED	H	
MFTERIMB10	MF - Munchies		BLK	B	
MFCASHEB6	MF - Nuts		BLK	B	
MFCECACME	MF - Pantry		MED	B	
BULK-ABBNR-BOX	Bulk Products		BLK	B	
MFTAMARLG	MF - Munchies		LRG	E	
MFMIXENB5.5	MF - Nuts		BLK	B	
FLIONMLG	Fungi		LRG	H	
SDGREENLG	Stardust		LRG	H	
MFCUMSWSM	MF - Pantry		SML	H	
MFCARCLB9	MF - Clusters		BLK	B	
SDCREATME	Stardust		MED	B	
