MFLBALMB.8	-353	MF - Pantry (Bulk)	BLK			B
MFCLOVWXL	-182	MF - Pantry (Bulk)	XLG			H
SDSCHISSM	-105	Stardust - Adaptogen	A			H		11.97
MFYUMMBB12	-83	MF - Pantry (Bulk)	BLK			B
SDASTRASM	-82	Stardust - Adaptogen	A			H		17.03
MFBIRPBLG	-51	MF - Granola	LRG			O		5.83
SDASHWASM	-44	Stardust - Adaptogen	SML			H		15.54
MFCELTSME	-33	MF - Pantry	MED			H		3.95
MFWILDCLG	-31	MF - Munchies	LRG			E		20.59
MFWILDCSM	-28	MF - Munchies	SML			E		12.02
MFOATSRB5	-30	MF - Pantry (Bulk)	BLK			B
MFLOTUSME	-29	MF - Tea	MED			H		11.91
MFCECACSM	-36	MF - Pantry	SML			B
MFLINSEB6.5	-21	MF - Pantry (Bulk)	BLK			B
MFYERBAME	-20	MF - Tea	MED			H		5.62
MFMATCHSM	-17	MF - Tea	SML			H		14.27
MFPECANME	-12	MF - Nuts	MED			O		5.50
MFGOLDGXL	-12	MF - Granola	XLG			E		8.53
MFROSHBSM	358	MF - Pantry	SML			H		7.55
MFBKCHOCB9	-8	MF - Buckies	BLK			E		62.67
MFKELPMME	-8	MF - Pantry	MED			E		8.40
MFBIRPBXL	-8	MF - Granola	XLG			E		5.48
SDPORIGLG	45	Stardust - Protein	LRG			D		8.58
MFBKCARABG	-5	MF - Buckies	BAG			E		3.11
MFGINGGSM	-6	MF - Pantry	SML			D		6.27
MFBLUBUSM	-6	MF - Pantry	SML			H		6.91
MFASHWPSM	-4	MF - Pantry	SML			D		8.16
MFALMONLG	-4	MF - Nuts	LRG			O		10.28
SDYELLOSM	-4	Stardust	SML			D		7.16
MFJASMIME	96	MF - Tea	MED			H
MFCELTSSM	-1	MF - Pantry	SML			H		2.53
MFCACAPME	-4	MF - Pantry	MED			D		4.60
ABCSG	-3	MF - Ingredients	BLK			B
MFCHOCLLG	0	MF - Clusters	LRG			H		7.36
MFCACBPXL	-2	MF - Granola	XLG			E		10.98
MFCINNQXL	0	MF - Pantry (Bulk)	XLG			B
MFBKBRYB9	0	MF - Buckies	BLK			H		60.35
MFCORNFME	0	MF - Tea	MED			H		6.51
MFCURNTME	0	MF - Pantry	MED			B
MFBRAZNXL	5	MF - Nuts	XLG			H		18.92
MFTURMESM	0	MF - Pantry	SML			D		3.76
MFGINSEME	1	MF - Tea	MED			H		19.98
MFSPEARME	1	MF - Tea	MED			H		3.26
MFCYNPEPSM	-5	MF - Pantry	SML			D		7.73
MFKBBQMME	1	MF - Munchies	MED			O		5.55
