Code,In family sheet?,Has BOM?,Has demand?,AVE /mo,Product Group,Current routing,Action needed
MFCECACLG,no,no,no,,,(unplanned),add BOM; add demand row; add BOM
MFCLOVWXL,no,YES,no,,MF - Pantry (Bulk),auto: hand-packing,add to family sheet for proper routing; add demand row
MFCECACSM,no,no,no,,,(unplanned),add BOM; add demand row; add BOM
MFCECACME,no,no,no,,,(unplanned),add BOM; add demand row; add BOM
SDSCHISSM,YES,YES,YES,13,Stardust - Adaptogen,family sheet,(none)
SDASTRASM,YES,YES,YES,8,Stardust - Adaptogen,family sheet,(none)
MFBIRPBLG,YES,YES,YES,370,MF - Granola,family sheet,(none)
MFCELTSME,YES,YES,YES,401,MF - Pantry,family sheet,(none)
SDYELLOB3,no,YES,YES,1,Stardust,auto: hand-packing,add to family sheet for proper routing
SDASHWASM,YES,YES,YES,36,Stardust - Adaptogen,family sheet,(none)
MFWILDCSM,no,YES,YES,215,MF - Munchies,auto: hand-packing,add to family sheet for proper routing
MFWILDCLG,YES,YES,YES,21,MF - Munchies,family sheet,(none)
MFOATSRB5,no,YES,YES,2,MF - Pantry (Bulk),auto: hand-packing,add to family sheet for proper routing
MFTERIMB5,no,YES,YES,2,MF - Munchies,auto: hand-packing,add to family sheet for proper routing
MFLOTUSME,YES,YES,YES,289,MF - Tea,family sheet,(none)
MFLINSEB6.5,no,YES,YES,4,MF - Pantry (Bulk),auto: hand-packing,add to family sheet for proper routing
MFMATCHSM,YES,YES,YES,202,MF - Tea,family sheet,(none)
MFYERBAME,YES,YES,YES,127,MF - Tea,family sheet,(none)
SDPCHOCLG,YES,YES,YES,234,Stardust - Protein,family sheet,(none)
MFROSHBSM,YES,YES,YES,6,MF - Pantry,family sheet,(none)
MFPECANME,YES,YES,YES,663,MF - Nuts,family sheet,(none)
MFGOLDGXL,no,YES,YES,52,MF - Granola,auto: hand-packing,add to family sheet for proper routing
MFBIRPBXL,no,YES,YES,52,MF - Granola,auto: hand-packing,add to family sheet for proper routing
