Product Code,Station Letter,Station Label,Planner Station,Profit Per Item (AUD)
MFLBALMB.8,B,Bulk,hand-packing,
MFCLOVWXL,H,Hand,hand-packing,
SDSCHISSM,H,Hand,hand-packing,11.97
MFYUMMBB12,B,Bulk,hand-packing,
SDASTRASM,H,Hand,hand-packing,17.03
MFBIRPBLG,O,bottlO,bottlo,5.83
SDASHWASM,H,Hand,hand-packing,15.54
MFCELTSME,H,Hand,hand-packing,3.95
MFWILDCLG,E,Elephant,elephant,20.59
MFWILDCSM,E,Elephant,elephant,12.02
MFOATSRB5,B,Bulk,hand-packing,17.99
MFLOTUSME,H,Hand,hand-packing,11.91
MFCECACSM,B,Bulk,hand-packing,
MFLINSEB6.5,B,Bulk,hand-packing,46.23
MFYERBAME,H,Hand,hand-packing,5.62
MFMATCHSM,H,Hand,hand-packing,14.27
MFPECANME,O,bottlO,bottlo,5.5
MFGOLDGXL,E,Elephant,elephant,8.53
MFROSHBSM,H,Hand,hand-packing,7.55
MFBKCHOCB9,E,Elephant,elephant,62.67
MFKELPMME,E,Elephant,elephant,8.4
MFBIRPBXL,E,Elephant,elephant,5.48
SDPORIGLG,D,Dust,dust,8.58
MFBKCARABG,E,Elephant,elephant,3.11
MFGINGGSM,D,Dust,dust,6.27
MFBLUBUSM,H,Hand,hand-packing,6.91
MFASHWPSM,D,Dust,dust,8.16
MFALMONLG,O,bottlO,bottlo,10.28
SDYELLOSM,D,Dust,dust,7.16
MFJASMIME,H,Hand,hand-packing,3.48
MFCELTSSM,H,Hand,hand-packing,2.53
MFCACAPME,D,Dust,dust,4.6
ABCSG,B,Bulk,hand-packing,
MFCHOCLLG,H,Hand,hand-packing,7.36
MFCACBPXL,E,Elephant,elephant,10.98
MFCINNQXL,B,Bulk,hand-packing,100.19
MFBKBRYB9,H,Hand,hand-packing,60.35
MFCORNFME,H,Hand,hand-packing,6.51
MFCURNTME,B,Bulk,hand-packing,
MFBRAZNXL,H,Hand,hand-packing,18.92
MFTURMESM,D,Dust,dust,3.76
MFGINSEME,H,Hand,hand-packing,19.98
MFSPEARME,H,Hand,hand-packing,3.26
MFCYNPEPSM,D,Dust,dust,7.73
MFKBBQMME,O,bottlO,bottlo,5.55
MFALMONSM,E,Elephant,elephant,3.12
MFLINSEME,H,Hand,hand-packing,3.88
MFCASHEME,O,bottlO,bottlo,3.99
MFHEMPSB5.5,B,Bulk,hand-packing,
SDYELLOLG,D,Dust,dust,24.95
MFPASSIME,O,bottlO,bottlo,6.78
MFMAPLEB10,B,Bulk,hand-packing,
MFBLPEPSM,D,Dust,dust,4.82
MFCHOCLSM,H,Hand,hand-packing,3.63
MFBKCHOCBG,E,Elephant,elephant,3.11
MFCACBPLG,E,Elephant,elephant,4.86
MFFENUWSM,H,Hand,hand-packing,9.39
MFKELPMSM,D,Dust,dust,8.35
MFASHWAME,H,Hand,hand-packing,19.78
MFCHILBME,O,bottlO,bottlo,6.19
MFCACBPB5,B,Bulk,hand-packing,104.95
MFRASFDME,H,Hand,hand-packing,11.66
MFEROLVB4.5,B,Bulk,hand-packing,
MFTUMMTME,H,Hand,hand-packing,5.12
MFBRAZNSM,E,Elephant,elephant,5.05
MFBEETPME,H,Hand,hand-packing,14.17
MFPEPPEME,O,bottlO,bottlo,5.26
BULK-CACPO-5KG,H,Hand,hand-packing,121.25
MFBKCARAB9,E,Elephant,elephant,58.16
MFCHAMOME,H,Hand,hand-packing,6.86
MFROSEMME,H,Hand,hand-packing,
MFSUNFSME,O,bottlO,bottlo,3.63
MFWALNUXL,E,Elephant,elephant,13.9
MFMAPLEME,E,Elephant,elephant,4.71
MFBKBRYBG,E,Elephant,elephant,2.53
MFYUMMBME,E,Elephant,elephant,4.11
MFCHIASLG,E,Elephant,elephant,
MFCECACLG,B,Bulk,hand-packing,
MFLBALMME,H,Hand,hand-packing,6.51
SDREDLOLG,D,Dust,dust,28.83
SDCACAOSM,D,Dust,dust,5.56
MFFIRESME,O,bottlO,bottlo,6.84
MFFRANKSM,H,Hand,hand-packing,9.71
MFDATESLG,H,Hand,hand-packing,4.92
MFMIXENB11,E,Elephant,elephant,177.73
SDYELLOXL,D,Dust,dust,48.72
MFCINNPSM,D,Dust,dust,4.71
SDBLUEISM,D,Dust,dust,7.5
MFSEEDMLG,O,bottlO,bottlo,5.91
MFHIBISME,H,Hand,hand-packing,7.85
MFSLIPPSM,H,Hand,hand-packing,7.24
MFMESQPSM,D,Dust,dust,6.81
SDRHODISM,H,Hand,hand-packing,
MFPAPRSSM,D,Dust,dust,4.75
SDREDLOSM,D,Dust,dust,9.83
MFMAPLESM,H,Hand,hand-packing,3.35
MFMIXENLG,E,Elephant,elephant,6.45
MFCANIBSM,H,Hand,hand-packing,2.19
MFMAPLEXL,H,Hand,hand-packing,35.2
SDREDLOB3,B,Bulk,hand-packing,99.57
MFTUMMTB.8,B,Bulk,hand-packing,51.94
MFMIXENME,E,Elephant,elephant,4.18
MFMAPLELG,E,Elephant,elephant,7.92
MFRASLFME,H,Hand,hand-packing,8.01
MFOOLONME,H,Hand,hand-packing,9.52
MFBUCKWB12,B,Bulk,hand-packing,-26
SDGREENSM,D,Dust,dust,3.75
MFHAZELME,E,Elephant,elephant,6.6
MFIMMUNME,O,bottlO,bottlo,5.95
MFBLCUMSM,H,Hand,hand-packing,4.77
MFBEETPSM,H,Hand,hand-packing,8.72
MFKBBQMLG,E,Elephant,elephant,7.07
MFEROLVXL,E,Elephant,elephant,13.36
MFTERIMME,E,Elephant,elephant,4.32
MFCACBPSM,E,Elephant,elephant,2.45
MFEROLVLG,E,Elephant,elephant,6.08
MFROOIBME,H,Hand,hand-packing,7.38
MFLAVENME,H,Hand,hand-packing,5.43
MFMAPLEB5,H,Hand,hand-packing,102.95
MFASHWPME,D,Dust,dust,11.22
MFTUMMTSM,H,Hand,hand-packing,3.57
MFMIXENXL,E,Elephant,elephant,16.63
SDPCHOCLG,O,bottlO,bottlo,10.41
MFCHIASME,E,Elephant,elephant,5.4
MFHEMPSME,H,Hand,hand-packing,10.15
MFDMTEAME,H,Hand,hand-packing,3.71
MFTULSIME,H,Hand,hand-packing,4.94
FCORDYSM,H,Hand,hand-packing,21.26
MFDMTEASM,H,Hand,hand-packing,6.87
MFROSEPSM,H,Hand,hand-packing,4.28
MFSUNFSLG,O,bottlO,bottlo,4.98
MFBRAZNLG,E,Elephant,elephant,9.66
MFCHILBB.8,B,Bulk,hand-packing,45.84
SDREDLOXL,H,Hand,hand-packing,49.4
SDCACAOLG,D,Dust,dust,17.82
MFTURMEME,D,Dust,dust,6.87
MFLOTUSSM,H,Hand,hand-packing,9.56
MFCASHELG,E,Elephant,elephant,7.89
MFCARCLSM,H,Hand,hand-packing,4.44
MFCARDASM,H,Hand,hand-packing,11.96
MFSESASSM,H,Hand,hand-packing,2.14
MFCINNPME,O,bottlO,bottlo,8.07
MFCACBPB10,B,Bulk,hand-packing,79.87
MFGOCHUME,H,Hand,hand-packing,6.65
MFMIXENSM,E,Elephant,elephant,2.36
MFBRAZNME,O,bottlO,bottlo,8.45
MFGOLDGLG,E,Elephant,elephant,3.97
MFSEEDMME,O,bottlO,bottlo,4.22
MFMACAPME,D,Dust,dust,5.52
MFMIXENINFYME,E,Elephant,elephant,4.59
MFCHILBSM,H,Hand,hand-packing,3.47
MFTERIMB10,B,Bulk,hand-packing,141.71
MFMIXENINFYSM,E,Elephant,elephant,3.61
MFTAMARME,E,Elephant,elephant,11.11
MFTERIMSM,H,Hand,hand-packing,2.94
MFMACAPSM,D,Dust,dust,4.16
MFPEPITME,O,bottlO,bottlo,4.85
MFMORINME,D,Dust,dust,8.39
