productCode,productName,station,size,profitPerItem
BULK-ABBNR-BOX,BULK-ABBNR-BOX,hand-packing,Other,60.26
MFBKCARAB9,MFBKCARAB9,elephant,BLK,58.16
MFBUCKWB12,MFBUCKWB12,hand-packing,BLK,26.00
MFCARCLB9,MFCARCLB9,hand-packing,BLK,145.22
MFCARDASM,Cardamom (Whole) SML,hand-packing,SML,11.96
MFCASHEB6,MFCASHEB6,hand-packing,BLK,61.34
MFCINNQXL,MFCINNQXL,hand-packing,XLG,100.19
MFCUMSWSM,Cumin Seed (Whole) SML,hand-packing,SML,2.79
MFGOCHUME,Gochugaro MED,hand-packing,MED,6.65
MFJASMIME,Jasmine Buds MED,hand-packing,MED,3.48
MFLINSEB6.5,MFLINSEB6.5,hand-packing,BLK,46.23
MFMAPLEXL,MFMAPLEXL,hand-packing,XLG,35.20
MFMIXENB5.5,MFMIXENB5.5,hand-packing,BLK,70.86
MFOATSRB5,MFOATSRB5,hand-packing,BLK,17.99
MFTAMARLG,Tamari Almonds - Organic & Activated,hand-packing,LG,8.05
MFTERIMB10,MFTERIMB10,hand-packing,BLK,141.71
MFTERIMB5,MFTERIMB5,hand-packing,BLK,88.12
MFTUMMTB.8,MFTUMMTB.8,hand-packing,BLK,51.94
SDGREENLG,SDGREENLG,hand-packing,LG,77.24
SDREDLOB3,SDREDLOB3,hand-packing,BLK,99.57
SDYELLOB3,SDYELLOB3,hand-packing,BLK,131.22
