code,profitStation,pass1,finalStation,balancerMoved,source,family
FSHROBSM,hand-packing,bottlo,bottlo,no,meta,SBLOOM
MFALMONLG,bottlo,hand-packing,hand-packing,no,meta,IAA
MFALMONME,bottlo,hand-packing,hand-packing,no,meta,IAA
MFALMONSM,elephant,hand-packing,hand-packing,no,meta,IAA
MFASHWPME,dust,hand-packing,hand-packing,no,meta,ASHRAWPOW
MFASHWPSM,dust,hand-packing,hand-packing,no,meta,ASHRAWPOW
MFBIRPBLG,bottlo,elephant,elephant,no,meta,IGB
MFBLPEPSM,dust,hand-packing,hand-packing,no,meta,EABPW
MFBRAZNLG,elephant,bottlo,bottlo,no,meta,IABR
MFBRAZNSM,elephant,bottlo,bottlo,no,meta,IABR
MFCACAPLG,bottlo,hand-packing,hand-packing,no,meta,CACPOW
MFCACAPME,dust,hand-packing,hand-packing,no,meta,CACPOW
MFCACAPSM,dust,hand-packing,hand-packing,no,meta,CACPOW
MFCARCLLG,hand-packing,bottlo,bottlo,no,meta,ICW
MFCASHESM,elephant,bottlo,bottlo,no,meta,IAC
MFCHIASLG,elephant,hand-packing,hand-packing,no,meta,CHIASEEDS
MFCHIASME,elephant,hand-packing,hand-packing,no,meta,CHIASEEDS
MFCHILBSM,hand-packing,bottlo,bottlo,no,meta,ITC
MFCINNPME,bottlo,hand-packing,hand-packing,no,meta,PHYTCINN
MFCINNPSM,dust,hand-packing,hand-packing,no,meta,PHYTCINN
MFCYNPEPSM,dust,hand-packing,hand-packing,no,meta,CAYENPEP
MFDMTEAME,hand-packing,bottlo,bottlo,no,meta,ITD
MFDMTEASM,hand-packing,bottlo,bottlo,no,meta,ITD
MFGARLPSM,dust,hand-packing,hand-packing,no,meta,AHGARPOW
MFGINGGSM,dust,hand-packing,hand-packing,no,meta,EAGRG
MFHAZELME,elephant,bottlo,bottlo,no,meta,IAH
MFKBBQMLG,elephant,bottlo,bottlo,no,meta,IMK
MFKELPMME,elephant,hand-packing,hand-packing,no,meta,TKELP
MFKELPMSM,dust,hand-packing,hand-packing,no,meta,TKELP
MFMACAPME,dust,hand-packing,hand-packing,no,meta,AFMP
MFMACAPSM,dust,hand-packing,hand-packing,no,meta,AFMP
MFMAPLELG,elephant,bottlo,bottlo,no,meta,IMM
MFMAPLEME,elephant,bottlo,bottlo,no,meta,IMM
MFMAPLESM,hand-packing,bottlo,bottlo,no,meta,IMM
MFMESQPSM,dust,hand-packing,hand-packing,no,meta,RAWMESQ
MFMIXENINFYSM,elephant,bottlo,bottlo,no,meta,IAM
MFMIXENLG,elephant,bottlo,bottlo,no,meta,IAM
MFMIXENME,elephant,bottlo,bottlo,no,meta,IAM
MFMIXENSM,elephant,bottlo,bottlo,no,meta,IAM
MFMORINME,dust,hand-packing,hand-packing,no,meta,MORINGA
MFPAPRSSM,dust,hand-packing,hand-packing,no,meta,DCPSO
MFPASSIME,bottlo,hand-packing,hand-packing,no,meta,AHPHO
MFPECANSM,elephant,bottlo,bottlo,no,meta,IAPC
MFPEPITLG,elephant,bottlo,bottlo,no,meta,IAP
MFPEPPEME,bottlo,hand-packing,hand-packing,no,meta,AHPLO
MFPSYHUME,dust,hand-packing,hand-packing,no,meta,PSY001
MFSEEDMLG,bottlo,hand-packing,hand-packing,no,meta,IMS
MFSEEDMME,bottlo,hand-packing,hand-packing,no,meta,IMS
MFTAMARLG,elephant,hand-packing,hand-packing,no,meta,ISTA
MFTAMARME,elephant,hand-packing,hand-packing,no,meta,ISTA
MFTERIMLG,elephant,bottlo,bottlo,no,meta,IMT
MFTERIMME,elephant,bottlo,bottlo,no,meta,IMT
MFTERIMSM,hand-packing,bottlo,bottlo,no,meta,IMT
MFTURMEME,dust,hand-packing,hand-packing,no,meta,ABWTPO5%
MFTURMESM,dust,hand-packing,hand-packing,no,meta,ABWTPO5%
MFWALNUSM,hand-packing,bottlo,bottlo,no,meta,IAW
MFWILDCLG,elephant,hand-packing,hand-packing,no,meta,ISWC
MFWILDCME,elephant,hand-packing,hand-packing,no,meta,ISWC
SDBLUEISM,dust,hand-packing,hand-packing,no,meta,ISBL
SDCACAOSM,dust,bottlo,bottlo,no,meta,ISBR
SDGREENSM,dust,bottlo,bottlo,no,meta,ISG
SDPORIGLG,dust,bottlo,bottlo,no,meta,ISPO
SDREDLOSM,dust,bottlo,bottlo,no,meta,ISR
SDYELLOSM,dust,bottlo,bottlo,no,meta,ISY
